gene_name_biomart,feature_id,effect_size,conf.low,conf.high,AveExpr,t,p_value,adj.P.Val,B,term,padj
AEBP1,ENSG00000106624,1.5132028746226502,0.742421035321005,2.2839847139242955,6.298515185578218,9.711761103253771,2.816014526027691e-16,4.867481108238864e-12,26.415244143886554,bridging fibrosis,4.867481108238864e-12
C7,ENSG00000112936,1.2815239216434888,0.617760836984755,1.9452870063022227,8.096325227157818,9.550935863048222,6.454349474307987e-16,5.578171533170677e-12,25.48697719856621,bridging fibrosis,5.578171533170677e-12
VWF,ENSG00000110799,1.6405042748729342,0.7798190728143956,2.5011894769314726,5.146644008774997,9.428993513182096,1.2100177283181068e-15,6.971718811326159e-12,25.06925183511119,bridging fibrosis,6.971718811326159e-12
GSN,ENSG00000148180,1.0365003706295015,0.47688159852173917,1.5961191427372639,5.8095981712036915,9.16240519893299,4.771807639868894e-15,2.0620173763783457e-11,23.652603757210485,bridging fibrosis,2.0620173763783457e-11
FBLN5,ENSG00000140092,1.2360589230853867,0.5503147194327489,1.9218031267380244,5.24671284547548,8.916806358666118,1.683944639675351e-14,5.821396619357688e-11,22.460435319295613,bridging fibrosis,5.821396619357688e-11
EPHA3,ENSG00000044524,1.3869236484573013,0.603349055372914,2.1704982415416887,3.5566066642056917,8.755975026344956,3.837594525369012e-14,1.1055470228500563e-10,21.761186728263922,bridging fibrosis,1.1055470228500563e-10
NFASC,ENSG00000163531,1.2933504643818972,0.5387606934504124,2.0479402353133818,4.301319883233928,8.478862965655251,1.5789011632811214e-13,3.898758086759169e-10,20.35260562501111,bridging fibrosis,3.898758086759169e-10
LTBP2,ENSG00000119681,1.6996246967225377,0.6909119009442584,2.7083374925008172,3.9631634164773244,8.3352342527864,3.2774179128752467e-13,5.622702753515978e-10,19.662750596251975,bridging fibrosis,5.622702753515978e-10
FLNA,ENSG00000196924,0.7841065949895224,0.32157618605528104,1.2466370039237638,7.003720737662836,8.386236827315093,2.5293372115742576e-13,4.857732633562339e-10,19.626445381374506,bridging fibrosis,4.857732633562339e-10
VIM,ENSG00000026025,0.6925262459724111,0.2806630809965347,1.1043894109482875,7.921283789605328,8.31793632498304,3.5782314312222023e-13,5.622702753515978e-10,19.2280830363833,bridging fibrosis,5.622702753515978e-10
LAMA2,ENSG00000196569,1.013402688676836,0.40888604664225847,1.6179193307114135,6.710412651772423,8.292893681515924,4.0630746580439743e-13,5.852520455357509e-10,19.17915231657352,bridging fibrosis,5.852520455357509e-10
EFEMP1,ENSG00000115380,2.14574335581929,0.8442288131010554,3.447257898537525,3.647621661529921,8.155696538314752,8.140469827838832e-13,1.082369392109186e-9,18.78929090297743,bridging fibrosis,1.082369392109186e-9
ITGBL1,ENSG00000198542,2.4329621174340876,0.9465477210508837,3.9193765138172916,2.790682531056656,8.097067327730649,1.0947647681785137e-12,1.2615339345310406e-9,18.464478544500757,bridging fibrosis,1.2615339345310406e-9
DNASE1L3,ENSG00000163687,-0.6233527804798202,-1.0040158720216104,-0.24268968893803006,6.397582038507695,-8.100753875899377,1.0745720362617707e-12,1.2615339345310406e-9,18.24335513438178,bridging fibrosis,1.2615339345310406e-9
CFTR,ENSG00000001626,1.624593929660323,0.6241273363627451,2.6250605229579005,4.376248048444285,8.032940333705639,1.513013846180334e-12,1.634527770701692e-9,18.12928037766484,bridging fibrosis,1.634527770701692e-9
STMN2,ENSG00000104435,4.846608371693817,2.0090947945866824,7.684121948800952,-2.812404677380214,8.449524830537635,1.8332245078754854e-13,3.960910702328471e-10,17.910673106600257,bridging fibrosis,3.960910702328471e-10
FCN2,ENSG00000160339,-0.9339916203609777,-1.5181161522739974,-0.349867088447958,5.625787727389351,-7.909879008288483,2.8109001185616984e-12,2.8580240323140564e-9,17.370219547553802,bridging fibrosis,2.8580240323140564e-9
PDGFRA,ENSG00000134853,0.8107709036295788,0.28941147623925745,1.3321303310199002,5.424196187514811,7.692955677757294,8.331412601781375e-12,8.000470378988393e-9,16.322841695439102,bridging fibrosis,8.000470378988393e-9
JAG1,ENSG00000101384,1.0753890635526533,0.3807519815252858,1.7700261455800208,4.501748382638692,7.658433726529962,9.897435890449764e-12,8.668260248714695e-9,16.27288016309427,bridging fibrosis,8.668260248714695e-9
CCDC80,ENSG00000091986,1.5076463457437304,0.529780000737822,2.4855126907496388,3.2055003529922734,7.626974364746978,1.157756168391713e-11,9.529435890786075e-9,16.218726160037626,bridging fibrosis,9.529435890786075e-9
IGFBP7,ENSG00000163453,0.9304389849869587,0.32922182812414535,1.5316561418497718,6.821590162567803,7.655769337427205,1.0029806478119404e-11,8.668260248714695e-9,16.001335665108446,bridging fibrosis,8.668260248714695e-9
