gene_name_biomart,feature_id,effect_size,conf.low,conf.high,AveExpr,t,p_value,adj.P.Val,B,term,R2,R2adj,padj
PIH1D2,seq.20381.21,3.4569228367986384,2.079535160650767,4.8343105129465105,8.948395900292992,11.879110628314944,3.8211682486854976e-21,2.7569728914265865e-17,37.13726462316137,Collagen PA,0.5933284992724985,0.589418196380888,2.7569728914265865e-17
HMGB2,seq.6913.189,2.6235498043312604,1.562535308141108,3.684564300521413,8.123276959790699,11.70347327444606,9.35412570758836e-21,3.374500849012501e-17,36.28306159677085,Collagen PA,0.5862525086558369,0.5822741673929123,3.374500849012501e-17
HP,seq.7905.30,-5.809118796110184,-8.223676503483325,-3.394561088737041,16.071814421606003,-11.387361363142372,4.739081909953539e-20,1.139749199343826e-16,34.73352701789586,Collagen PA,0.5563423237688433,0.552076384574313,1.139749199343826e-16
GSC2,seq.22151.48,1.9771818940323855,1.0904479680246688,2.863915820040102,6.951593093624454,10.552796331572129,3.433284771371726e-18,6.1927874063617505e-15,30.636244747028528,Collagen PA,0.5489075618189452,0.5445701345287428,6.1927874063617505e-15
HBB,seq.17137.160,2.446416095426056,1.342542670760698,3.550289520091414,10.603374697250391,10.489355689481778,4.821235934640086e-18,6.957043453685644e-15,30.311080036685787,Collagen PA,0.5290538407587806,0.524525512304538,6.957043453685644e-15
BARD1,seq.13977.28,2.1825397715986936,1.1085564186981356,3.2565231244992514,8.794416655516086,9.618661414919153,4.377413672141591e-16,5.263839940750264e-13,25.98783910479321,Collagen PA,0.4865183098142404,0.4815809858701465,5.263839940750264e-13
PLA2G2E,seq.13670.81,3.7045811023616255,1.8525147318961364,5.556647472827114,8.798657275206516,9.467449455720526,9.56160376865782e-16,8.701698225315319e-13,25.237904307464667,Collagen PA,0.4736078300281895,0.46854636685538364,8.701698225315319e-13
PKD2,seq.13486.9,2.595568019319938,1.2977010239287752,3.893435014711101,9.572894474785375,9.465698344290887,9.648452640682266e-16,8.701698225315319e-13,25.229224079935875,Collagen PA,0.4795109804108568,0.4745062782994227,8.701698225315319e-13
HP,seq.3054.3,-5.469243981427916,-8.429211998127034,-2.509275964728799,15.247335874818118,-8.745622218073933,3.92639724938298e-14,3.147661794922022e-11,21.66975740281731,Collagen PA,0.42539979968198083,0.419874797755846,3.147661794922022e-11
RPS6KA6,seq.12688.115,2.671482278054853,1.17587675467688,4.167087801432826,10.968685260331272,8.45445606003329,1.739528671126251e-13,1.2550699362175902e-10,20.239512058708904,Collagen PA,0.43050701433920635,0.42503112024631406,1.2550699362175902e-10
FGD2,seq.24318.13,2.7749832520801454,1.1919593360511813,4.3580071681091095,11.047715668726479,8.297042685283598,3.8765431656217437e-13,2.5426599036328073e-10,19.469462516510525,Collagen PA,0.4219034987150373,0.41634487851037416,2.5426599036328073e-10
MYZAP,seq.9964.10,2.1392995643985437,0.9038705329120773,3.37472859588501,11.071684793684739,8.196035311290574,6.472722399439652e-13,3.891724342663091e-10,18.97680940038672,Collagen PA,0.39994386878619115,0.3941740982937507,3.891724342663091e-10
