gene_name_biomart,feature_id,effect_size,conf.low,conf.high,AveExpr,t,p_value,adj.P.Val,B,term,padj
C7,seq.13731.14,0.8735219038468204,0.44710497656435766,1.2999388311292832,14.999284921389854,9.705952511127649,3.326739281476311e-16,1.212759250679512e-12,26.242952856268644,bridging fibrosis,1.212759250679512e-12
CLSTN2,seq.18882.7,0.906777080023411,0.4640330686858636,1.3495210913609583,9.404313803584362,9.703907266168901,3.361772004655612e-16,1.212759250679512e-12,26.232910922704164,bridging fibrosis,1.212759250679512e-12
NFASC,seq.7179.69,0.7770160888811706,0.36496701651888036,1.1890651612434608,10.226155184135298,8.93469783445581,1.7141348179667047e-14,4.122494237209925e-11,22.461572564844346,bridging fibrosis,4.122494237209925e-11
QSOX1,seq.6217.23,0.5629453240523704,0.2507376963408476,0.8751529517638932,11.615351674538207,8.542459339785578,1.2445038683019622e-13,2.2447738524496643e-10,20.558321426482685,bridging fibrosis,2.2447738524496643e-10
COLEC11,seq.4430.44,1.5228320497337196,0.6337021976876364,2.4119619017798026,12.250763763868484,8.114945653833953,1.087493830168238e-12,1.2311681060837393e-9,18.477200950010854,bridging fibrosis,1.2311681060837393e-9
SVEP1,seq.11178.21,0.8818196752532049,0.36689431013506923,1.3967450403713406,10.854872168429642,8.113986820023403,1.092743469240746e-12,1.2311681060837393e-9,18.47257692530082,bridging fibrosis,1.2311681060837393e-9
LTBP4,seq.13133.73,0.5686239158551493,0.23581184122486587,0.9014359904854327,13.831932167754932,8.094429800277554,1.1944804910029349e-12,1.2311681060837393e-9,18.38682591850489,bridging fibrosis,1.2311681060837393e-9
IGFBP7,seq.3320.49,0.4587789713959898,0.1875204603207018,0.7300374824712778,15.154792315299632,8.012726945475292,1.799869963801802e-12,1.6232577236037503e-9,17.99313922753798,bridging fibrosis,1.6232577236037503e-9
RP9,seq.20988.63,0.707877063061392,0.28396165992659894,1.1317924661961851,10.985266730698514,7.911839018956833,3.0083920755810732e-12,2.4117276472574934e-9,17.50017958825279,bridging fibrosis,2.4117276472574934e-9
IL6ST,seq.2620.4,0.3284574422539796,0.12973429498029124,0.527180589527668,12.89737319144246,7.830524694388477,4.476774962269574e-12,3.2299931352774975e-9,17.118243738033122,bridging fibrosis,3.2299931352774975e-9
JAG1,seq.5092.51,0.47993730171893145,0.18584493505251004,0.7740296683853529,10.872448169212953,7.731450269429807,7.333171496703486e-12,4.514604709753466e-9,16.644427338247397,bridging fibrosis,4.514604709753466e-9
SEMA7A,seq.7019.13,0.5834412950853574,0.22573311012917807,0.9411494800415366,10.98371943760635,7.727770715352979,7.508698061960027e-12,4.514604709753466e-9,16.621905852184007,bridging fibrosis,4.514604709753466e-9
SVEP1,seq.11109.56,0.8171308525952641,0.30892975267192535,1.325331952518603,11.346255518963158,7.618242745762982,1.2964078438602254e-11,7.1950635334242514e-9,16.097710451209366,bridging fibrosis,7.1950635334242514e-9
PLXNB2,seq.9216.100,0.48213261069698277,0.1767177465872764,0.7875474748066891,12.210238099339247,7.4788797645526826,2.5624694640753234e-11,1.3205869416645328e-8,15.443365818641146,bridging fibrosis,1.3205869416645328e-8
SPON1,seq.4297.62,0.4608343356302478,0.16743420672119724,0.7542344645392983,10.084232490841549,7.441277768578744,3.0858859363387265e-11,1.4564294458167485e-8,15.264987309631023,bridging fibrosis,1.4564294458167485e-8
CHST4,seq.18876.77,0.3875548181481702,0.14050054256593023,0.6346090937304102,8.59661000015503,7.431919206186303,3.2297811688243903e-11,1.4564294458167485e-8,15.221223834683828,bridging fibrosis,1.4564294458167485e-8
ADAMTSL2,seq.6379.62,0.8935332794201362,0.32157860619211276,1.4654879526481595,10.771396988310567,7.401980189754334,3.7690893890068026e-11,1.599645878922593e-8,15.073302796151355,bridging fibrosis,1.599645878922593e-8
FBLN5,seq.15585.304,0.5336460388092922,0.19087598205628092,0.8764160955623035,12.541226816694396,7.375825393440229,4.2560957927211476e-11,1.7059850635823932e-8,14.95639296184878,bridging fibrosis,1.7059850635823932e-8
PLXND1,seq.19561.216,0.4636896796639918,0.1587438826067914,0.7686354767211923,12.634237779415814,7.2038554761400135,9.881131933586889e-11,3.48941628315439e-8,14.14816031945317,bridging fibrosis,3.48941628315439e-8
SEMA4D,seq.5737.61,0.577736710121771,0.19765086514829766,0.9578225550952443,10.673121416370366,7.201899669844708,1.0041117375131669e-10,3.48941628315439e-8,14.133035142533332,bridging fibrosis,3.48941628315439e-8
